TEAM,PLAYER,EA POSITION,OVR
"OHIO STATE","Julian Sayin","QB","94"
"OHIO STATE","Tavien St. Clair","QB","82"
"OHIO STATE","Bo Jackson","RB","90"
"OHIO STATE","Isaiah West","RB","82"
"OHIO STATE","Ja'Kobi Jackson","RB","81"
"OHIO STATE","Jeremiah Smith","WR","99"
"OHIO STATE","Chris Henry Jr.","WR","85"
"OHIO STATE","Brandon Inniss","WR","87"
"OHIO STATE","Devin McCuin","WR","85"
"OHIO STATE","Nate Roberts","TE","79"
"OHIO STATE","Mason Williams","TE","77"
"OHIO STATE","Connor Hawkins","K","78"
"ILLINOIS","Katin Houser","QB","83"
"ILLINOIS","Carson Boyd","QB","72"
"ILLINOIS","Ca'Lil Valentine","RB","85"
"ILLINOIS","Aidan Laughery","RB","85"
"ILLINOIS","Javari Barnett","RB","74"
"ILLINOIS","Alex Perry","WR","84"
"ILLINOIS","Collin Dixon","WR","84"
"ILLINOIS","Hudson Clement","WR","83"
"ILLINOIS","Jayshon Platt","WR","81"
"ILLINOIS","Christian Abney","TE","74"
"ILLINOIS","Kaden Feagin","TE","74"
"ILLINOIS","Lucas Osada","K","75"
"INDIANA","Josh Hoover","QB","88"
"INDIANA","Grant Wilson","QB","72"
"INDIANA","Turbo Richard","RB","87"
"INDIANA","Khobie Martin","RB","85"
"INDIANA","Lee Beebe Jr.","RB","85"
"INDIANA","Nick Marsh","WR","88"
"INDIANA","Charlie Becker","WR","89"
"INDIANA","Tyler Morris","WR","78"
"INDIANA","Shazz Preston","WR","87"
"INDIANA","Andrew Barker","TE","72"
"INDIANA","Brock Schott","TE","76"
"INDIANA","Nico Radicic","K","82"
"IOWA","Jeremy Hecklinski","QB","71"
"IOWA","Hank Brown","QB","69"
"IOWA","Reece Vander Zee","WR","79"
"IOWA","Tony Diaz","WR","79"
"IOWA","Evan James","WR","77"
"IOWA","Dayton Howard","WR","72"
"IOWA","Kamari Moulton","RB","88"
"IOWA","Lendon Phillips Jr","RB","82"
"IOWA","Xavier Williams","RB","76"
"IOWA","DJ Vonnahme","TE","88"
"IOWA","Addison Ostrenga","TE","75"
"IOWA","Eli Ozick","K","71"
"MARYLAND","Malik Washington","QB","82"
"MARYLAND","Devin Kargman","QB","70"
"MARYLAND","DeJuan Williams","RB","82"
"MARYLAND","Harry Dalton III","RB","75"
"MARYLAND","Iverson Howard","RB","78"
"MARYLAND","Kaleb Webb","WR","76"
"MARYLAND","Na'eem Abdul-Rahim Gladding","WR","82"
"MARYLAND","Chris Durr Jr.","WR","77"
"MARYLAND","Jordan Scott","WR","71"
"MARYLAND","Dorian Fleming","TE","87"
"MARYLAND","Preston Howard","TE","80"
"MARYLAND","Sean O'Haire","K","80"
"MICHIGAN","Bryce Underwood","QB","83"
"MICHIGAN","Jordan Marshall","RB","87"
"MICHIGAN","Savion Hiter","RB","83"
"MICHIGAN","Bryson Kuzdzal","RB","79"
"MICHIGAN","Andrew Marsh","WR","88"
"MICHIGAN","Jaime Ffrench Jr.","WR","81"
"MICHIGAN","JJ Buchanan","WR","78"
"MICHIGAN","Jamar Browder","WR","73"
"MICHIGAN","Zack Marshall","TE","74"
"MICHIGAN","Hogan Hansen","TE","72"
"MICHIGAN","Trey Butkowski","K","77"
"MICHIGAN STATE","Alessio Milivojevic","QB","75"
"MICHIGAN STATE","Cam Fancher","QB","72"
