source_sheet,SCHOOL,POSITION,NAME,HEIGHT,WEIGHT,CLASS,BIRTHPLACE
Big 10,OHIO STATE,QB1,Julian Sayin,"6' 1""",208 lbs,JR,"Carlsbad, CA"
Big 10,OHIO STATE,QB2,Tavien St. Clair,"6' 4""",230 lbs,SO,"Bellefontaine, OH"
Big 10,OHIO STATE,RB1,Bo Jackson,"6' 0""",217 lbs,SO,"Cleveland, OH"
Big 10,OHIO STATE,RB2,Isaiah West,"5' 10""",210 lbs,SO,"Philadelphia, PA"
Big 10,OHIO STATE,RB3,Ja'Kobi Jackson,"5' 11""",214 lbs,SR,"Pensacola, FL"
Big 10,OHIO STATE,WR1,Jeremiah Smith,"6' 3""",223 lbs,JR,"Miami Gardens, FL"
Big 10,OHIO STATE,WR2,Chris Henry Jr.,"6'5""",195 lbs,FR,"Sant Ana, CA"
Big 10,OHIO STATE,WR3,Brandon Inniss,"6' 0""",199 lbs,JR,"Hollywood, FL"
Big 10,OHIO STATE,WR4,Devin McCuin,"6'0""",195 lbs,SR,"Jacksonville, TX"
Big 10,OHIO STATE,TE1,Nate Roberts,"6' 5""",240 lbs,FR,"Washington, OK"
Big 10,OHIO STATE,TE2,Mason Williams,"6'4""",247 lbs,Senior,"Mogadore, Ohio"
Big 10,OHIO STATE,K,Connor Hawkins,"6'2""",199 lbs,SO,"Liberty Hill, TX"
Big 10,ILLINOIS,QB1,Katin Houser,"6'3""",225 lbs,SR,"Anaheim, CA"
Big 10,ILLINOIS,QB2,Carson Boyd,"6'0""",185 lbs,SO,"St. Louis, MO"
Big 10,ILLINOIS,RB1,Ca'Lil Valentine,"5'11""",190 lbs,JR,"Hayward, CA"
Big 10,ILLINOIS,RB2,Aidan Laughery,"5' 11""",200 lbs,SR,"Gibson City, IL"
Big 10,ILLINOIS,RB3,Javari Barnett,"6'0""",205 lbs,FR,"Tampa, FL"
Big 10,ILLINOIS,WR1,Alex Perry,"6'5""",210 lbs,Sr,"Port Charlotte, Fl"
Big 10,ILLINOIS,WR2,Collin Dixon,"6' 1""",210 lbs,JR,"Tallmadge, OH"
Big 10,ILLINOIS,WR3,Hudson Clement,"6' 1""",205 lbs,SR,"Martinsburg, WV"
Big 10,ILLINOIS,WR4,Jayshon Platt,"6'1""",195 lbs,SR,"Sarasota, FL"
Big 10,ILLINOIS,TE1,Christian Abney,"6' 6""",255 lbs,SR,"Zionsville, IN"
Big 10,ILLINOIS,TE2,Kaden Feagin,"6'3""",250 lbs,Sr,"Atwood, IL"
Big 10,ILLINOIS,K,Lucas Osada,"6' 1""",200 lbs,JR,"Charlottesville, VA"
Big 10,INDIANA,QB1,Josh Hoover,"6' 2""",200 lbs,SR,"Heath, TX"
Big 10,INDIANA,QB2,Grant Wilson,"6' 3""",217 lbs,SR,"Arlington, VA"
Big 10,INDIANA,RB1,Turbo Richard,"5' 8""",207 lbs,SR,"Charlotte, NC"
Big 10,INDIANA,RB2,Khobie Martin,"6' 0""",207 lbs,JR,"Fishers, IN"
Big 10,INDIANA,RB3,Lee Beebe Jr.,"5' 10""",220 lbs,SR,"Montgomery, AL"
Big 10,INDIANA,WR1,Nick Marsh,"6' 3""",203 lbs,SR,"Detroit, MI"
Big 10,INDIANA,WR2,Charlie Becker,"6' 4""",204 lbs,SR,"Nashville, TN"
Big 10,INDIANA,WR3,Tyler Morris,"5' 11""",185 lbs,SR,"Bolingbrook, IL"
Big 10,INDIANA,WR4,Shazz Preston,"6' 0""",206 lbs,SR,"Saint James, LA"
Big 10,INDIANA,TE1,Andrew Barker,"6' 4""",240 lbs,JR,"Kokomo, IN"
Big 10,INDIANA,TE2,Brock Schott,"6'3""",N/A,SO,"Leo, IN"
Big 10,INDIANA,K,Nico Radicic,"5' 11""",193 lbs,JR,"Coppell, TX"
Big 10,IOWA,QB1,Jeremy Hecklinski,"5' 11""",188 lbs,SO,"Marietta, GA"
Big 10,IOWA,QB2,Hank Brown,"6' 4""",215 lbs,JR,"Nashville, TN"
Big 10,IOWA,WR1,Reece Vander Zee,"6' 4""",215 lbs,JR,"Rock Rapids, IA"
Big 10,IOWA,WR2,Tony Diaz,"5'10""",184 lbs,JR,"San Marcos, TX"
Big 10,IOWA,WR3,Evan James,"5'10""",170 lbs,SO,"Apopka, FL"
Big 10,IOWA,WR4,Dayton Howard,"6' 5""",215 lbs,JR,"Kansas City, MO"
Big 10,IOWA,RB1,Kamari Moulton,"5' 9""",205 lbs,JR,"Fort Lauderdale, FL"
Big 10,IOWA,RB2,Lendon Phillips Jr,"5'8""",211 lbs,SR,"Wichita, KS"
Big 10,IOWA,RB3,Xavier Williams,"5' 10""",225 lbs,SO,"Schererville, IN"
Big 10,IOWA,TE1,DJ Vonnahme,"6' 4""",240 lbs,SO,"Breda, IA"
Big 10,IOWA,TE2,Addison Ostrenga,"6' 4""",248 lbs,SR,"Sun Prairie, WI"
Big 10,IOWA,K,Eli Ozick,"5'11""",199 lbs,SR,"Liberty, Mo"
Big 10,MARYLAND,QB1,Malik Washington,"6' 5""",231 lbs,SO,"Glen Burnie, MD"
Big 10,MARYLAND,QB2,Devin Kargman,"6' 3""",225 lbs,SR,"Camden, NJ"
Big 10,MARYLAND,RB1,DeJuan Williams,"5' 11""",215 lbs,SO,"Baltimore, MD"
Big 10,MARYLAND,RB2,Harry Dalton III,"5'10""",205 lbs,SO,"Dinwiddie, VA"
Big 10,MARYLAND,RB3,Iverson Howard,"5' 11""",195 lbs,SO,"Gaithersburg, MD"
Big 10,MARYLAND,WR1,Kaleb Webb,"6' 5""",201 lbs,SR,"Powder Springs, GA"
Big 10,MARYLAND,WR2,Na'eem Abdul-Rahim Gladding,"6' 0""",198 lbs,JR,"Brooklyn, NY"
Big 10,MARYLAND,WR3,Chris Durr Jr.,"5' 10""",173 lbs,JR,"Chicago, IL"
Big 10,MARYLAND,WR4,Jordan Scott,"6' 7""",220 lbs,SR,"Lynchburg, VA"
Big 10,MARYLAND,TE1,Dorian Fleming,"6' 3""",245 lbs,JR,"Henrico, VA"
Big 10,MARYLAND,TE2,Preston Howard,"6' 5""",236 lbs,SR,"Arbutus, MD"
Big 10,MARYLAND,K,Sean O'Haire,"6' 2""",188 lbs,SO,"Kildare, Ireland"
Big 10,MICHIGAN,QB1,Bryce Underwood,"6' 4""",228 lbs,SO,"Detroit, MI"
Big 10,MICHIGAN,RB1,Jordan Marshall,"5' 11""",216 lbs,JR,"Cincinnati, OH"
Big 10,MICHIGAN,RB2,Savion Hiter,"6' 0""",200 lbs,SO,"Mineral, VA"
Big 10,MICHIGAN,RB3,Bryson Kuzdzal,"5' 11""",210 lbs,SR,"Grand Rapids, MI"
Big 10,MICHIGAN,WR1,Andrew Marsh,"6' 0""",190 lbs,SO,"Katy, TX"
Big 10,MICHIGAN,WR2,Jaime Ffrench Jr.,"6' 1""",185 lbs,SO,"Jacksonville, FL"
