source_sheet,TEAM,POSITION,PLAYER,COMP.,ATTEMPTS,PASS YDS,PASS TDS,INTS,RUSH YDS,RUSH TDS,RECEPTIONS,REC YDS,REC TDS,FG,XP,FANTASY PROJ.
Big10,OHIO STATE,QB1,Julian Sayin,326,438,3768,33,9,182,2,0,0,0,0,0,323.9
Big10,OHIO STATE,QB2,Tavien St. Clair,42,61,514,5,2,94,1,0,0,0,0,0,56
Big10,OHIO STATE,RB1,Bo Jackson,0,0,0,0,0,1364,14,24,228,2,0,0,332.2
Big10,OHIO STATE,RB2,Isaiah West,0,0,0,0,0,486,4,11,88,0,0,0,103.4
Big10,OHIO STATE,RB3,Ja'Kobi Jackson,0,0,0,0,0,268,3,7,56,0,0,0,51.4
Big10,OHIO STATE,WR1,Jeremiah Smith,0,0,0,0,0,22,0,98,1548,15,0,0,342.8
Big10,OHIO STATE,WR2,Chris Henry Jr.,0,0,0,0,0,14,0,54,824,8,0,0,184.8
Big10,OHIO STATE,WR3,Brandon Inniss,0,0,0,0,0,28,1,67,878,7,0,0,216.6
Big10,OHIO STATE,WR4,Devin McCuin,0,0,0,0,0,11,0,34,468,4,0,0,101.9
Big10,OHIO STATE,TE1,Nate Roberts,0,0,0,0,0,0,0,34,382,4,0,0,96.2
Big10,OHIO STATE,TE2,Mason Williams,0,0,0,0,0,0,0,18,204,2,0,0,48.4
Big10,OHIO STATE,K,Connor Hawkins,0,0,0,0,0,0,0,0,0,0,18,74,128
Big10,ILLINOIS,QB1,Katin Houser,284,424,3348,27,9,242,6,0,0,0,0,0,309.1
Big10,ILLINOIS,QB2,Carson Boyd,18,29,228,2,1,54,1,0,0,0,0,0,28.5
Big10,ILLINOIS,RB1,Ca'Lil Valentine,0,0,0,0,0,842,8,19,132,1,0,0,180.4
Big10,ILLINOIS,RB2,Aidan Laughery,0,0,0,0,0,568,5,14,96,0,0,0,113.4
Big10,ILLINOIS,RB3,Javari Barnett,0,0,0,0,0,188,2,5,34,0,0,0,38.2
Big10,ILLINOIS,WR1,Alex Perry,0,0,0,0,0,14,0,61,918,8,0,0,201.2
Big10,ILLINOIS,WR2,Collin Dixon,0,0,0,0,0,11,0,49,706,5,0,0,150.7
Big10,ILLINOIS,WR3,Hudson Clement,0,0,0,0,0,22,0,56,742,5,0,0,160.4
Big10,ILLINOIS,WR4,Jayshon Platt,0,0,0,0,0,8,0,34,462,3,0,0,94
Big10,ILLINOIS,TE1,Christian Abney,0,0,0,0,0,0,0,21,244,3,0,0,59.4
Big10,ILLINOIS,TE2,Kaden Feagin,0,0,0,0,0,214,2,18,186,2,0,0,84
Big10,ILLINOIS,K,Lucas Osada,0,0,0,0,0,0,0,0,0,0,17,46,97
Big10,INDIANA,QB1,Josh Hoover,279,417,3472,31,10,84,2,0,0,0,0,0,296.3
Big10,INDIANA,QB2,Grant Wilson,21,33,264,2,1,42,0,0,0,0,0,0,22.8
Big10,INDIANA,RB1,Turbo Richard,0,0,0,0,0,862,8,22,176,1,0,0,189.8
Big10,INDIANA,RB2,Khobie Martin,0,0,0,0,0,734,7,16,122,1,0,0,164.6
Big10,INDIANA,RB3,Lee Beebe Jr.,0,0,0,0,0,286,3,9,68,0,0,0,60.4
Big10,INDIANA,WR1,Nick Marsh,0,0,0,0,0,18,0,74,1086,10,0,0,236.4
Big10,INDIANA,WR2,Charlie Becker,0,0,0,0,0,11,0,49,742,6,0,0,159.3
Big10,INDIANA,WR3,Tyler Morris,0,0,0,0,0,26,0,54,648,5,0,0,149.4
Big10,INDIANA,WR4,Shazz Preston,0,0,0,0,0,8,0,31,404,3,0,0,83.2
Big10,INDIANA,TE1,Andrew Barker,0,0,0,0,0,0,0,29,338,3,0,0,73.8
Big10,INDIANA,TE2,Brock Schott,0,0,0,0,0,0,0,16,182,2,0,0,43.2
Big10,INDIANA,K,Nico Radicic,0,0,0,0,0,0,0,0,0,0,17,70,121
Big10,IOWA,QB1,Jeremy Hecklinski,218,335,2485,18,10,170,3,0,0,0,0,0,186.4
Big10,IOWA,QB2,Hank Brown,24,45,255,2,2,20,1,0,0,0,0,0,22.2
Big10,IOWA,WR1,Reece Vander Zee,0,0,0,0,0,5,0,44,650,5,0,0,139.5
Big10,IOWA,WR2,Tony Diaz,0,0,0,0,0,20,0,37,430,3,0,0,100
Big10,IOWA,WR3,Evan James,0,0,0,0,0,35,0,30,385,3,0,0,90
Big10,IOWA,WR4,Dayton Howard,0,0,0,0,0,15,0,18,240,2,0,0,56
Big10,IOWA,RB1,Kamari Moulton,0,0,0,0,0,945,9,18,125,1,0,0,185
Big10,IOWA,RB2,Lendon Phillips Jr,0,0,0,0,0,575,6,9,70,0,0,0,109.5
Big10,IOWA,RB3,Xavier Williams,0,0,0,0,0,260,3,5,35,0,0,0,52.5
Big10,IOWA,TE1,DJ Vonnahme,0,0,0,0,0,0,0,39,520,5,0,0,121
Big10,IOWA,TE2,Addison Ostrenga,0,0,0,0,0,0,0,19,205,2,0,0,51.5
Big10,IOWA,K,Eli Ozick,0,0,0,0,0,0,0,0,0,0,18,48,102
Big10,MARYLAND,QB1,Malik Washington,246,389,3015,24,11,285,5,0,0,0,0,0,274.1
Big10,MARYLAND,QB2,Devin Kargman,32,51,355,3,1,25,0,0,0,0,0,0,34.7
Big10,MARYLAND,RB1,DeJuan Williams,0,0,0,0,0,845,8,19,155,1,0,0,179
Big10,MARYLAND,RB2,Harry Dalton III,0,0,0,0,0,505,5,11,80,0,0,0,99.5
Big10,MARYLAND,RB3,Iverson Howard,0,0,0,0,0,245,2,6,45,0,0,0,45.5
Big10,MARYLAND,WR1,Kaleb Webb,0,0,0,0,0,15,0,63,890,8,0,0,201
Big10,MARYLAND,WR2,Na'eem Abdul-Rahim Gladding,0,0,0,0,0,20,0,49,705,5,0,0,151.5
Big10,MARYLAND,WR3,Chris Durr Jr.,0,0,0,0,0,10,0,34,455,3,0,0,98.5
Big10,MARYLAND,WR4,Jordan Scott,0,0,0,0,0,25,0,26,320,2,0,0,72
Big10,MARYLAND,TE1,Dorian Fleming,0,0,0,0,0,0,0,31,365,4,0,0,91.5
Big10,MARYLAND,TE2,Preston Howard,0,0,0,0,0,0,0,17,190,2,0,0,48
Big10,MARYLAND,K,Sean O'Haire,0,0,0,0,0,0,0,0,0,0,17,54,105
Big10,MICHIGAN,QB1,Bryce Underwood,244,376,3042,24,11,648,9,0,0,0,0,0,361.5
Big10,MICHIGAN,RB1,Jordan Marshall,1085,0,0,0,0,1085,11,22,180,1,0,0,236.5
Big10,MICHIGAN,RB2,Savion Hiter,620,0,0,0,0,620,6,14,125,1,0,0,130.5
Big10,MICHIGAN,RB3,Bryson Kuzdzal,285,0,0,0,0,285,3,6,55,0,0,0,57.5
Big10,MICHIGAN,WR1,Andrew Marsh,0,0,0,0,0,20,0,67,980,8,0,0,215
Big10,MICHIGAN,WR2,Jaime Ffrench Jr.,0,0,0,0,0,15,0,52,760,6,0,0,165.5
Big10,MICHIGAN,WR3,JJ Buchanan,0,0,0,0,0,10,0,38,520,4,0,0,115
Big10,MICHIGAN,WR4,Jamar Browder,0,0,0,0,0,10,0,21,290,2,0,0,63
Big10,MICHIGAN,TE1,Zack Marshall,0,0,0,0,0,0,0,27,340,3,0,0,79
Big10,MICHIGAN,TE2,Hogan Hansen,0,0,0,0,0,0,0,18,215,2,0,0,51.5
Big10,MICHIGAN,K,Trey Butkowski,0,0,0,0,0,0,0,0,0,0,19,63,120
Big10,MICHIGAN STATE,QB1,Alessio Milivojevic,239,382,2945,22,11,210,4,0,0,0,0,0,256.8
Big10,MICHIGAN STATE,QB2,Cam Fancher,44,71,510,4,2,120,2,0,0,0,0,0,66.4
Big10,MICHIGAN STATE,RB1,Cam Edwards,0,0,0,0,0,910,9,22,185,1,0,0,203.5
Big10,MICHIGAN STATE,RB2,Jaziun Patterson,0,0,0,0,0,575,5,13,95,0,0,0,112
Big10,MICHIGAN STATE,RB3,Brandon Tullis,0,0,0,0,0,265,3,7,55,0,0,0,56.5
Big10,MICHIGAN STATE,WR1,Fredrick Moore,0,0,0,0,0,20,0,61,870,7,0,0,190
Big10,MICHIGAN STATE,WR2,KK Smith,0,0,0,0,0,15,0,49,690,5,0,0,149
Big10,MICHIGAN STATE,WR3,Chrishon McCray,0,0,0,0,0,10,0,36,505,4,0,0,111.5
Big10,MICHIGAN STATE,WR4,Bryson Williams,0,0,0,0,0,10,0,22,315,2,0,0,66.5
Big10,MICHIGAN STATE,TE1,Brennan Parachek,0,0,0,0,0,0,0,32,390,4,0,0,95
Big10,MICHIGAN STATE,TE2,Kai Rios,0,0,0,0,0,0,0,14,175,1,0,0,37.5
Big10,MICHIGAN STATE,K,Liam Boyd,0,0,0,0,0,0,0,0,0,0,18,52,106
Big10,MINNESOTA,QB1,Drake Lindsey,214,332,2575,19,9,240,4,0,0,0,0,0,223
Big10,MINNESOTA,QB2,Max Shikenjanski,26,42,295,2,1,35,0,0,0,0,0,0,28.3
Big10,MINNESOTA,RB1,Darius Taylor,0,0,0,0,0,1195,10,29,245,1,0,0,259
Big10,MINNESOTA,RB2,A.J. Turner,0,0,0,0,0,465,4,11,95,0,0,0,80.5
Big10,MINNESOTA,RB3,Grant Washington,0,0,0,0,0,215,2,5,40,0,0,0,41
Big10,MINNESOTA,WR1,Jalen Smith,0,0,0,0,0,20,0,58,815,6,0,0,177.5
Big10,MINNESOTA,WR2,Perry Thompson,0,0,0,0,0,15,0,46,690,5,0,0,146
Big10,MINNESOTA,WR3,Javon Tracy,0,0,0,0,0,10,0,34,470,3,0,0,100
Big10,MINNESOTA,WR4,Noah Jennings,0,0,0,0,0,5,0,20,275,2,0,0,60
Big10,MINNESOTA,TE1,Kaden Helms,0,0,0,0,0,0,0,29,345,3,0,0,81.5
Big10,MINNESOTA,TE2,Pierce Walsh,0,0,0,0,0,0,0,15,170,1,0,0,38
Big10,MINNESOTA,K,Beckham Sunderland,0,0,0,0,0,0,0,0,0,0,17,49,100
Big10,NEBRASKA,QB1,Anthony Colandrea,248,396,3125,25,11,315,5,0,0,0,0,0,286.5
Big10,NEBRASKA,QB2,TJ Lateef,28,44,335,3,1,55,1,0,0,0,0,0,40.9
Big10,NEBRASKA,RB1,Isaiah Mozee,0,0,0,0,0,875,8,21,170,1,0,0,186
Big10,NEBRASKA,RB2,Mekhi Nelson,0,0,0,0,0,510,5,11,90,0,0,0,110
Big10,NEBRASKA,RB3,Kwinten Ives,0,0,0,0,0,255,2,5,40,0,0,0,46.5
Big10,NEBRASKA,WR1,Nyziah Hunter,0,0,0,0,0,25,0,62,910,8,0,0,203
Big10,NEBRASKA,WR2,Kwazi Gilmer,0,0,0,0,0,15,0,48,690,5,0,0,147
Big10,NEBRASKA,WR3,Jacory Barney Jr.,0,0,0,0,0,85,1,54,620,4,0,0,155
Big10,NEBRASKA,WR4,Quinn Clark,0,0,0,0,0,10,0,23,305,2,0,0,66.5
Big10,NEBRASKA,TE1,Luke Lindenmeyer,0,0,0,0,0,0,0,28,355,3,0,0,81.5
Big10,NEBRASKA,TE2,Carter Nelson,0,0,0,0,0,0,0,21,265,2,0,0,59.5
Big10,NEBRASKA,K,Kyle Cunanan,0,0,0,0,0,0,0,0,0,0,18,58,112
Big10,NORTHWESTERN,QB1,Aidan Chiles,236,381,2940,23,12,405,6,0,0,0,0,0,295.1
Big10,NORTHWESTERN,QB2,Nicco Marchiol,31,49,365,3,1,85,1,0,0,0,0,0,48.1
Big10,NORTHWESTERN,RB1,Caleb Komolafe,0,0,0,0,0,845,8,20,160,1,0,0,181
Big10,NORTHWESTERN,RB2,Gavin Sawchuk,0,0,0,0,0,540,5,16,125,1,0,0,123.5
Big10,NORTHWESTERN,RB3,Joseph Himon II,0,0,0,0,0,295,3,8,65,0,0,0,61.5
Big10,NORTHWESTERN,WR1,Hayden Eligon II,0,0,0,0,0,20,0,61,875,7,0,0,192.5
Big10,NORTHWESTERN,WR2,Griffin Wilde,0,0,0,0,0,10,0,46,655,5,0,0,142.5
Big10,NORTHWESTERN,WR3,Drew Wagner,0,0,0,0,0,15,0,34,470,3,0,0,98.5
Big10,NORTHWESTERN,WR4,Ricky Ahumaraeze,0,0,0,0,0,5,0,20,255,2,0,0,57.5
Big10,NORTHWESTERN,TE1,Alex Honig,0,0,0,0,0,0,0,27,315,3,0,0,76.5
Big10,NORTHWESTERN,TE2,Luke Dehnicke,0,0,0,0,0,0,0,16,185,1,0,0,40.5
Big10,NORTHWESTERN,K,Jackson Kleather,0,0,0,0,0,0,0,0,0,0,17,46,97
Big10,OREGON,QB1,Dante Moore,286,418,3825,34,9,285,5,0,0,0,0,0,341.5
Big10,OREGON,QB2,Dylan Raiola,41,63,505,4,1,40,0,0,0,0,0,0,54.2
Big10,OREGON,RB1,Jordon Davison,0,0,0,0,0,985,10,21,175,1,0,0,202
Big10,OREGON,RB2,Dierre Hill Jr.,0,0,0,0,0,585,5,14,120,1,0,0,129.5
Big10,OREGON,RB3,Da'Jaun Riggs,0,0,0,0,0,260,3,6,45,0,0,0,56.5
Big10,OREGON,WR1,Evan Stewart,0,0,0,0,0,25,0,74,1180,10,0,0,279.5
Big10,OREGON,WR2,Dakorien Moore,0,0,0,0,0,40,1,66,1025,8,0,0,257.5
Big10,OREGON,WR3,Jeremiah McClellan,0,0,0,0,0,15,0,42,610,5,0,0,134.5
Big10,OREGON,WR4,Gatlin Bair,0,0,0,0,0,35,0,29,455,4,0,0,104.5
Big10,OREGON,TE1,Jamari Johnson,0,0,0,0,0,0,0,33,420,5,0,0,105
Big10,OREGON,TE2,Andrew Olesh,0,0,0,0,0,0,0,18,235,2,0,0,53.5
Big10,OREGON,K,Gage Hurych,0,0,0,0,0,0,0,0,0,0,19,74,131
Big10,PENN STATE,QB1,Rocco Becht,252,387,3185,27,9,210,4,0,0,0,0,0,285.4
Big10,PENN STATE,QB2,Alex Manske,29,46,335,3,1,65,1,0,0,0,0,0,42.4
Big10,PENN STATE,RB1,Carson Hansen,0,0,0,0,0,1045,10,24,205,2,0,0,259
Big10,PENN STATE,RB2,James Peoples,0,0,0,0,0,625,6,14,115,1,0,0,138.5
Big10,PENN STATE,RB3,Quinton Martin Jr.,0,0,0,0,0,295,3,12,135,1,0,0,88
Big10,PENN STATE,WR1,Chase Sowell,0,0,0,0,0,20,0,63,915,8,0,0,204.5
Big10,PENN STATE,WR2,Brett Eskildsen,0,0,0,0,0,10,0,47,690,5,0,0,147
Big10,PENN STATE,WR3,Koby Howard,0,0,0,0,0,15,0,35,505,4,0,0,111
Big10,PENN STATE,WR4,Zay Robinson,0,0,0,0,0,20,0,18,245,2,0,0,56.5
Big10,PENN STATE,TE1A,Benjamin Brahmer,0,0,0,0,0,0,0,31,395,4,0,0,94.5
